Fecha,Último
24/03/2016,"4.607,50"
23/03/2016,"4.623,60"
22/03/2016,"4.655,50"
21/03/2016,"4.661,30"
18/03/2016,"4.574,30"
17/03/2016,"4.626,60"
16/03/2016,"4.647,10"
15/03/2016,"4.572,20"
14/03/2016,"4.582,60"
11/3/16,"4.551,30"
10/3/16,"4.547,00"
9/3/16,"4.575,10"
8/3/16,"4.540,50"
7/3/16,"4.584,20"
4/3/16,"4.601,10"
3/3/16,"4.562,00"
2/3/16,"4.554,40"
1/3/16,"4.545,90"
29/02/2016,"4.513,70"
26/02/2016,"4.492,40"
25/02/2016,"4.480,00"
24/02/2016,"4.476,50"
23/02/2016,"4.585,10"
22/02/2016,"4.608,40"
19/02/2016,"4.625,60"
18/02/2016,"4.572,30"
17/02/2016,"4.575,30"
16/02/2016,"4.499,00"
15/02/2016,"4.529,70"
12/2/16,"4.550,10"
11/2/16,"4.581,40"
10/2/16,"4.532,50"
9/2/16,"4.550,00"
8/2/16,"4.549,00"
5/2/16,"4.566,30"
4/2/16,"4.618,50"
3/2/16,"4.503,80"
2/2/16,"4.582,30"
1/2/16,"4.717,20"
29/01/2016,"4.699,10"
28/01/2016,"4.548,60"
27/01/2016,"4.481,00"
26/01/2016,"4.516,10"
25/01/2016,"4.568,30"
22/01/2016,"4.569,80"
21/01/2016,"4.478,10"
20/01/2016,"4.479,40"
19/01/2016,"4.536,00"
18/01/2016,"4.504,40"
15/01/2016,"4.494,30"
14/01/2016,"4.535,60"
13/01/2016,"4.471,10"
12/1/16,"4.484,80"
11/1/16,"4.445,50"
8/1/16,"4.472,20"
7/1/16,"4.440,40"
6/1/16,"4.487,90"
5/1/16,"4.499,70"
4/1/16,"4.473,70"
30/12/2015,"4.516,00"
29/12/2015,"4.509,20"
28/12/2015,"4.481,20"
24/12/2015,"4.525,00"
23/12/2015,"4.500,20"
22/12/2015,"4.456,20"
21/12/2015,"4.454,60"
18/12/2015,"4.463,90"
17/12/2015,"4.509,20"
16/12/2015,"4.488,20"
15/12/2015,"4.438,40"
14/12/2015,"4.365,50"
11/12/15,"4.327,20"
10/12/15,"4.322,40"
9/12/15,"4.271,90"
7/12/15,"4.299,20"
4/12/15,"4.336,10"
3/12/15,"4.337,90"
2/12/15,"4.227,20"
1/12/15,"4.213,20"
30/11/2015,"4.286,50"
27/11/2015,"4.409,80"
26/11/2015,"4.435,20"
25/11/2015,"4.411,80"
24/11/2015,"4.528,20"
23/11/2015,"4.512,10"
20/11/2015,"4.479,60"
19/11/2015,"4.469,40"
18/11/2015,"4.492,60"
17/11/2015,"4.475,10"
16/11/2015,"4.546,60"
13/11/2015,"4.603,80"
12/11/15,"4.630,80"
11/11/15,"4.698,60"
10/11/15,"4.647,70"
9/11/15,"4.644,70"
6/11/15,"4.682,50"
5/11/15,"4.700,60"
4/11/15,"4.700,50"
3/11/15,"4.695,70"
2/11/15,"4.676,20"
30/10/2015,"4.636,70"
29/10/2015,"4.624,50"
28/10/2015,"4.727,60"
27/10/2015,"4.750,90"
26/10/2015,"4.790,50"
23/10/2015,"4.791,80"
22/10/2015,"4.746,10"
21/10/2015,"4.630,30"
20/10/2015,"4.528,10"
19/10/2015,"4.503,50"
16/10/2015,"4.500,60"
15/10/2015,"4.575,30"
14/10/2015,"4.490,50"
13/10/2015,"4.504,90"
9/10/15,"4.493,10"
8/10/15,"4.480,10"
7/10/15,"4.490,50"
6/10/15,"4.445,90"
5/10/15,"4.389,60"
2/10/15,"4.320,00"
1/10/15,"4.329,30"
30/09/2015,"4.313,00"
29/09/2015,"4.231,00"
28/09/2015,"4.194,10"
25/09/2015,"4.237,80"
24/09/2015,"4.246,20"
23/09/2015,"4.322,40"
22/09/2015,"4.332,30"
21/09/2015,"4.374,20"
17/09/2015,"4.271,50"
16/09/2015,"4.303,30"
15/09/2015,"4.308,00"
14/09/2015,"4.288,80"
